2025-05-26 20:33:27.529 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 18/5415 只股票: 000026
2025-05-26 20:33:27.530 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000026
2025-05-26 20:33:27.705 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000026
2025-05-26 20:33:27.716 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000026.csv
2025-05-26 20:33:27.716 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 19/5415 只股票: 000027
2025-05-26 20:33:27.717 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000027
2025-05-26 20:33:27.898 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000027
2025-05-26 20:33:27.908 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000027.csv
2025-05-26 20:33:27.909 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 20/5415 只股票: 000028
2025-05-26 20:33:27.909 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000028
2025-05-26 20:33:28.129 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000028
2025-05-26 20:33:28.139 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000028.csv
2025-05-26 20:33:28.139 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 21/5415 只股票: 000029
2025-05-26 20:33:28.139 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000029
2025-05-26 20:33:28.384 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000029
2025-05-26 20:33:28.391 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000029.csv
2025-05-26 20:33:28.391 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 22/5415 只股票: 000030
2025-05-26 20:33:28.391 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000030
2025-05-26 20:33:28.584 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000030
2025-05-26 20:33:28.594 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000030.csv
2025-05-26 20:33:28.594 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 23/5415 只股票: 000031
2025-05-26 20:33:28.595 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000031
2025-05-26 20:33:28.781 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000031
2025-05-26 20:33:28.792 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000031.csv
2025-05-26 20:33:28.792 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 24/5415 只股票: 000032
2025-05-26 20:33:28.793 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000032
2025-05-26 20:33:28.965 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000032
2025-05-26 20:33:28.975 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000032.csv
2025-05-26 20:33:28.975 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 25/5415 只股票: 000034
2025-05-26 20:33:28.976 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000034
2025-05-26 20:33:29.153 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000034
2025-05-26 20:33:29.162 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000034.csv
2025-05-26 20:33:29.162 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 26/5415 只股票: 000035
2025-05-26 20:33:29.163 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000035
2025-05-26 20:33:29.329 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000035
2025-05-26 20:33:29.337 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000035.csv
2025-05-26 20:33:29.338 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 27/5415 只股票: 000036
2025-05-26 20:33:29.338 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000036
2025-05-26 20:33:29.516 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000036
2025-05-26 20:33:29.526 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000036.csv
2025-05-26 20:33:29.526 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 28/5415 只股票: 000037
2025-05-26 20:33:29.526 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000037
2025-05-26 20:33:29.722 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000037
2025-05-26 20:33:29.732 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000037.csv
2025-05-26 20:33:29.732 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 29/5415 只股票: 000039
2025-05-26 20:33:29.733 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000039
2025-05-26 20:33:29.909 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000039
2025-05-26 20:33:29.920 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000039.csv
2025-05-26 20:33:29.921 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 30/5415 只股票: 000042
2025-05-26 20:33:29.921 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000042
2025-05-26 20:33:30.089 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000042
2025-05-26 20:33:30.099 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000042.csv
2025-05-26 20:33:30.099 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 31/5415 只股票: 000045
2025-05-26 20:33:30.100 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000045
2025-05-26 20:33:30.288 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000045
2025-05-26 20:33:30.307 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000045.csv
2025-05-26 20:33:30.308 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 32/5415 只股票: 000048
2025-05-26 20:33:30.308 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000048
2025-05-26 20:33:30.789 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000048
2025-05-26 20:33:30.799 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000048.csv
2025-05-26 20:33:30.799 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 33/5415 只股票: 000049
2025-05-26 20:33:30.800 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000049
2025-05-26 20:33:31.596 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000049
2025-05-26 20:33:31.606 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000049.csv
2025-05-26 20:33:31.607 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 34/5415 只股票: 000050
2025-05-26 20:33:31.607 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000050
2025-05-26 20:33:32.198 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000050
2025-05-26 20:33:32.208 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000050.csv
2025-05-26 20:33:32.208 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 35/5415 只股票: 000055
2025-05-26 20:33:32.209 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000055
2025-05-26 20:33:32.431 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000055
2025-05-26 20:33:32.441 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000055.csv
2025-05-26 20:33:32.442 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 36/5415 只股票: 000056
2025-05-26 20:33:32.442 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000056
2025-05-26 20:33:32.687 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000056
2025-05-26 20:33:32.697 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000056.csv
2025-05-26 20:33:32.698 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 37/5415 只股票: 000058
2025-05-26 20:33:32.698 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000058
2025-05-26 20:33:32.906 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000058
2025-05-26 20:33:32.917 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000058.csv
2025-05-26 20:33:32.918 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 38/5415 只股票: 000059
2025-05-26 20:33:32.918 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000059
2025-05-26 20:33:33.204 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000059
2025-05-26 20:33:33.213 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000059.csv
2025-05-26 20:33:33.214 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 39/5415 只股票: 000060
2025-05-26 20:33:33.214 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000060
2025-05-26 20:33:33.439 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000060
2025-05-26 20:33:33.449 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000060.csv
2025-05-26 20:33:33.449 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 40/5415 只股票: 000061
2025-05-26 20:33:33.450 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000061
2025-05-26 20:33:33.710 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000061
2025-05-26 20:33:33.720 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000061.csv
2025-05-26 20:33:33.720 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 41/5415 只股票: 000062
2025-05-26 20:33:33.721 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000062
2025-05-26 20:33:33.971 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000062
2025-05-26 20:33:33.980 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000062.csv
2025-05-26 20:33:33.981 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 42/5415 只股票: 000063
2025-05-26 20:33:33.981 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000063
2025-05-26 20:33:34.336 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000063
2025-05-26 20:33:34.346 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000063.csv
2025-05-26 20:33:34.347 | INFO     | __main__:getAllStockDataFromA:129 - 正在获取第 43/5415 只股票: 000065
2025-05-26 20:33:34.348 | INFO     | __main__:getStockDataByIndex:78 - 开始获取股票数据: 000065
2025-05-26 20:33:34.590 | INFO     | __main__:process_stock_data:58 - 没有找到负数数据: 000065
2025-05-26 20:33:34.601 | INFO     | __main__:process_stock_data:65 - 数据保存成功: d:\ifindata\第一次小组作业\DownLoadData\AllAStocks\000065.csv
