代码,名称,上市日期,行业,板块,交易所,上市年份
002138,顺络电子,2007-06-13,C 制造业,主板,SZSE,2007.0
002139,拓邦股份,2007-06-29,C 制造业,主板,SZSE,2007.0
002140,东华科技,2007-07-12,E 建筑业,主板,SZSE,2007.0
002141,*ST贤丰,2007-07-20,C 制造业,主板,SZSE,2007.0
002142,宁波银行,2007-07-19,J 金融业,主板,SZSE,2007.0
002144,宏达高科,2007-08-03,C 制造业,主板,SZSE,2007.0
002145,中核钛白,2007-08-03,C 制造业,主板,SZSE,2007.0
002146,荣盛发展,2007-08-08,K 房地产,主板,SZSE,2007.0
002148,北纬科技,2007-08-10,I 信息技术,主板,SZSE,2007.0
002149,西部材料,2007-08-10,C 制造业,主板,SZSE,2007.0
002150,通润装备,2007-08-10,C 制造业,主板,SZSE,2007.0
002151,北斗星通,2007-08-13,C 制造业,主板,SZSE,2007.0
002152,广电运通,2007-08-13,C 制造业,主板,SZSE,2007.0
002153,石基信息,2007-08-13,I 信息技术,主板,SZSE,2007.0
002154,报 喜 鸟,2007-08-16,C 制造业,主板,SZSE,2007.0
002155,湖南黄金,2007-08-16,B 采矿业,主板,SZSE,2007.0
002156,通富微电,2007-08-16,C 制造业,主板,SZSE,2007.0
002157,正邦科技,2007-08-17,A 农林牧渔,主板,SZSE,2007.0
002158,汉钟精机,2007-08-17,C 制造业,主板,SZSE,2007.0
002159,三特索道,2007-08-17,N 公共环保,主板,SZSE,2007.0
002160,常铝股份,2007-08-21,C 制造业,主板,SZSE,2007.0
002161,远 望 谷,2007-08-21,C 制造业,主板,SZSE,2007.0
002162,悦心健康,2007-08-23,C 制造业,主板,SZSE,2007.0
002163,海南发展,2007-08-23,E 建筑业,主板,SZSE,2007.0
002164,宁波东力,2007-08-23,C 制造业,主板,SZSE,2007.0
002165,红 宝 丽,2007-09-13,C 制造业,主板,SZSE,2007.0
002166,莱茵生物,2007-09-13,C 制造业,主板,SZSE,2007.0
002167,东方锆业,2007-09-13,C 制造业,主板,SZSE,2007.0
002168,*ST惠程,2007-09-19,C 制造业,主板,SZSE,2007.0
002169,智光电气,2007-09-19,C 制造业,主板,SZSE,2007.0
002170,芭田股份,2007-09-19,C 制造业,主板,SZSE,2007.0
002171,楚江新材,2007-09-21,C 制造业,主板,SZSE,2007.0
002172,澳洋健康,2007-09-21,Q 卫生,主板,SZSE,2007.0
002173,创新医疗,2007-09-25,Q 卫生,主板,SZSE,2007.0
002174,游族网络,2007-09-25,I 信息技术,主板,SZSE,2007.0
002175,东方智造,2007-10-12,C 制造业,主板,SZSE,2007.0
002176,江特电机,2007-10-12,C 制造业,主板,SZSE,2007.0
002177,御银股份,2007-11-01,C 制造业,主板,SZSE,2007.0
002178,延华智能,2007-11-01,I 信息技术,主板,SZSE,2007.0
002179,中航光电,2007-11-01,C 制造业,主板,SZSE,2007.0
002180,纳思达,2007-11-13,C 制造业,主板,SZSE,2007.0
002181,粤 传 媒,2007-11-16,L 商务服务,主板,SZSE,2007.0
002182,宝武镁业,2007-11-13,C 制造业,主板,SZSE,2007.0
002183,怡 亚 通,2007-11-13,L 商务服务,主板,SZSE,2007.0
002184,海得控制,2007-11-16,C 制造业,主板,SZSE,2007.0
002185,华天科技,2007-11-20,C 制造业,主板,SZSE,2007.0
002186,全 聚 德,2007-11-20,H 住宿餐饮,主板,SZSE,2007.0
002187,广百股份,2007-11-22,F 批发零售,主板,SZSE,2007.0
002188,中天服务,2007-11-22,K 房地产,主板,SZSE,2007.0
002189,中光学,2007-12-03,C 制造业,主板,SZSE,2007.0
002190,成飞集成,2007-12-03,C 制造业,主板,SZSE,2007.0
002191,劲嘉股份,2007-12-05,C 制造业,主板,SZSE,2007.0
002192,融捷股份,2007-12-05,B 采矿业,主板,SZSE,2007.0
002193,如意集团,2007-12-07,C 制造业,主板,SZSE,2007.0
002194,武汉凡谷,2007-12-07,C 制造业,主板,SZSE,2007.0
002195,岩山科技,2007-12-12,I 信息技术,主板,SZSE,2007.0
002196,方正电机,2007-12-12,C 制造业,主板,SZSE,2007.0
